frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.531,  0.98,  1, 0.00, 0.00, 2.02, 0.00, 0.00, 0.00, 0.00, 0.42, 0.00, 0.00, 0.38, 0.66, 0.14, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  1.674,  0.98,  1, 0.00, 0.00, 1.95, 0.00, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.28, 0.70, 0.27, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  1.700,  0.98,  1, 0.06, 0.00, 1.87, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.00, 0.26, 0.76, 0.27, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  1.794,  0.98,  1, 0.11, 0.04, 1.79, 0.00, 0.00, 0.00, 0.00, 0.99, 0.00, 0.00, 0.23, 0.81, 0.16, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  1.823,  0.98,  1, 0.16, 0.04, 1.71, 0.00, 0.00, 0.00, 0.00, 1.05, 0.00, 0.00, 0.22, 0.86, 0.08, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  1.904,  0.98,  1, 0.15, 0.04, 1.64, 0.00, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.14, 0.88, 0.05, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  1.935,  0.98,  1, 0.09, 0.00, 1.70, 0.00, 0.00, 0.00, 0.00, 1.01, 0.00, 0.00, 0.03, 0.92, 0.01, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  2.004,  0.98,  1, 0.04, 0.00, 1.84, 0.00, 0.00, 0.00, 0.00, 1.07, 0.00, 0.00, 0.03, 0.93, 0.01, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  2.044,  0.98,  1, 0.00, 0.00, 1.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.10, 0.95, 0.12, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  2.096,  0.98,  1, 0.02, 0.00, 1.91, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 0.00, 0.20, 0.97, 0.27, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  2.129,  0.98,  1, 0.05, 0.00, 1.79, 0.00, 0.00, 0.00, 0.00, 0.82, 0.00, 0.00, 0.22, 1.01, 0.29, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  2.190,  0.98,  1, 0.09, 0.00, 1.70, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.00, 0.13, 1.02, 0.18, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  2.223,  0.98,  1, 0.08, 0.00, 1.62, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.00, 0.05, 1.01, 0.05, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  2.302,  0.98,  1, 0.07, 0.00, 1.64, 0.00, 0.00, 0.00, 0.00, 0.83, 0.00, 0.00, 0.07, 0.97, 0.04, 0.25, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  2.330,  0.98,  1, 0.03, 0.00, 1.66, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.00, 0.05, 0.88, 0.05, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  2.397,  0.98,  1, 0.02, 0.00, 1.69, 0.00, 0.00, 0.00, 0.00, 0.78, 0.00, 0.00, 0.03, 0.81, 0.09, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  2.426,  0.98,  1, 0.00, 0.00, 1.69, 0.00, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00, 0.03, 0.75, 0.08, 0.37, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  2.499,  0.98,  1, 0.00, 0.00, 1.69, 0.00, 0.00, 0.00, 0.00, 0.65, 0.00, 0.00, 0.07, 0.75, 0.05, 0.40, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  2.546,  0.98,  1, 0.00, 0.00, 1.63, 0.00, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 0.07, 0.79, 0.00, 0.41, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  2.592,  0.98,  1, 0.00, 0.00, 1.59, 0.00, 0.00, 0.00, 0.00, 0.66, 0.00, 0.00, 0.04, 0.78, 0.00, 0.38, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  2.615,  0.98,  1, 0.00, 0.00, 1.59, 0.00, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.82, 0.00, 0.35, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  2.714,  0.98,  1, 0.00, 0.00, 1.64, 0.00, 0.00, 0.00, 0.00, 0.73, 0.00, 0.00, 0.00, 0.78, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  2.767,  0.98,  1, 0.00, 0.00, 1.70, 0.08, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00, 0.00, 0.70, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  2.800,  0.98,  1, 0.00, 0.00, 1.79, 0.08, 0.00, 0.00, 0.00, 0.56, 0.00, 0.00, 0.00, 0.42, 0.00, 0.21, 0.00, 0.00, 0.25, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  2.911,  0.98,  1, 0.00, 0.00, 1.91, 0.08, 0.00, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.19, 0.00, 0.12, 0.00, 0.00, 0.45, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  2.940,  0.98,  1, 0.00, 0.00, 1.85, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  2.991,  0.98,  1, 0.00, 0.00, 1.66, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.21, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  3.016,  0.98,  1, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.39, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  3.102,  0.88,  1, 0.00, 0.00, 1.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.75, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  3.131,  0.88,  1, 0.00, 0.00, 1.50, 0.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.75, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  3.199,  0.98,  1, 0.00, 0.00, 1.24, 0.19, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.37, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  3.226,  0.98,  1, 0.00, 0.00, 0.74, 0.47, 0.13, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.12, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  3.300,  0.98,  1, 0.00, 0.00, 0.62, 0.58, 0.25, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.42, 0.26, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  3.351,  0.98,  1, 0.00, 0.00, 0.30, 0.70, 0.35, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.64, 0.57, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  3.391,  0.93,  1, 0.00, 0.00, 0.27, 0.63, 0.31, 0.00, 0.08, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.64, 0.71, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  3.419,  0.88,  1, 0.00, 0.33, 0.25, 0.51, 0.18, 0.00, 0.01, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.62, 0.90, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  3.515,  0.93,  1, 0.00, 0.64, 0.36, 0.54, 0.07, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.89, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  3.541,  0.93,  1, 0.06, 1.02, 0.71, 0.51, 0.00, 0.00, 0.00, 0.01, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.57, 0.84, 0.14, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  3.598,  0.93,  1, 0.06, 0.91, 1.08, 0.56, 0.00, 0.00, 0.00, 0.06, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.59, 0.74, 0.23, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  3.627,  0.93,  1, 0.21, 1.05, 1.53, 0.53, 0.00, 0.06, 0.00, 0.15, 0.00, 0.63, 0.00, 0.01, 0.00, 0.00, 0.68, 0.52, 0.23, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
41,  0,  3.694,  0.93,  1, 0.23, 1.03, 1.68, 0.43, 0.00, 0.12, 0.00, 0.30, 0.00, 0.67, 0.00, 0.11, 0.00, 0.00, 0.63, 0.47, 0.09, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
42,  0,  3.720,  0.93,  1, 0.52, 1.36, 1.94, 0.25, 0.00, 0.19, 0.00, 0.40, 0.00, 0.83, 0.00, 0.11, 0.00, 0.00, 0.59, 0.31, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
43,  0,  3.804,  0.98,  1, 0.63, 1.42, 2.08, 0.14, 0.00, 0.20, 0.00, 0.48, 0.00, 0.87, 0.00, 0.10, 0.00, 0.00, 0.43, 0.29, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
44,  0,  3.853,  0.93,  1, 0.93, 1.39, 2.32, 0.13, 0.00, 0.36, 0.00, 0.54, 0.00, 0.85, 0.00, 0.06, 0.00, 0.00, 0.42, 0.16, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
45,  0,  3.902,  0.98,  1, 1.03, 1.15, 2.39, 0.28, 0.00, 0.42, 0.00, 0.67, 0.00, 0.81, 0.00, 0.22, 0.00, 0.00, 0.44, 0.11, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  3.929,  0.98,  1, 1.19, 1.00, 2.48, 0.44, 0.00, 0.35, 0.00, 0.81, 0.00, 1.00, 0.00, 0.43, 0.08, 0.00, 0.61, 0.16, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  3.998,  0.98,  1, 1.23, 1.02, 2.42, 0.60, 0.00, 0.13, 0.00, 0.88, 0.00, 1.21, 0.00, 0.58, 0.14, 0.01, 0.64, 0.22, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  4.023,  0.98,  1, 1.21, 0.89, 2.43, 0.59, 0.00, 0.17, 0.00, 0.95, 0.00, 1.30, 0.00, 0.74, 0.14, 0.01, 0.62, 0.44, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  4.095,  0.98,  1, 1.10, 0.67, 2.45, 0.47, 0.00, 0.29, 0.00, 1.02, 0.00, 1.22, 0.00, 0.88, 0.06, 0.01, 0.53, 0.61, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  4.118,  0.98,  1, 0.91, 0.35, 2.33, 0.45, 0.00, 0.29, 0.00, 0.89, 0.00, 0.91, 0.01, 0.79, 0.10, 0.00, 0.43, 0.61, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  4.197,  0.98,  1, 0.74, 0.18, 2.15, 0.52, 0.00, 0.12, 0.00, 0.68, 0.00, 0.76, 0.02, 0.52, 0.10, 0.00, 0.47, 0.43, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  4.242,  0.98,  1, 0.53, 0.03, 2.00, 0.44, 0.00, 0.00, 0.00, 0.32, 0.00, 0.39, 0.02, 0.20, 0.15, 0.00, 0.44, 0.18, 0.31, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  4.302,  0.98,  1, 0.42, 0.01, 2.01, 0.21, 0.00, 0.00, 0.00, 0.16, 0.00, 0.29, 0.01, 0.12, 0.07, 0.00, 0.44, 0.17, 0.62, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  4.323,  0.98,  1, 0.23, 0.00, 2.10, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.10, 0.06, 0.09, 0.07, 0.00, 0.29, 0.22, 0.62, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  4.398,  0.98,  1, 0.16, 0.00, 2.11, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.15, 0.09, 0.10, 0.02, 0.00, 0.18, 0.33, 0.31, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  4.424,  0.98,  1, 0.11, 0.01, 2.07, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.16, 0.10, 0.05, 0.04, 0.00, 0.05, 0.26, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  4.494,  0.98,  1, 0.17, 0.03, 1.99, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.17, 0.07, 0.03, 0.10, 0.00, 0.02, 0.16, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  4.521,  0.98,  1, 0.32, 0.03, 1.98, 0.00, 0.00, 0.00, 0.00, 0.14, 0.00, 0.19, 0.09, 0.11, 0.27, 0.00, 0.10, 0.09, 0.53, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  4.590,  0.98,  1, 0.44, 0.02, 1.98, 0.00, 0.00, 0.00, 0.00, 0.08, 0.00, 0.17, 0.14, 0.21, 0.42, 0.00, 0.20, 0.11, 0.77, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
60,  0,  4.613,  0.98,  1, 0.52, 0.00, 1.90, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.17, 0.24, 0.23, 0.43, 0.00, 0.20, 0.10, 0.95, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
61,  0,  4.708,  0.98,  1, 0.49, 0.00, 1.81, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.19, 0.30, 0.16, 0.32, 0.00, 0.11, 0.05, 0.86, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
62,  0,  4.751,  0.98,  1, 0.39, 0.00, 1.85, 0.00, 0.00, 0.00, 0.00, 0.14, 0.00, 0.20, 0.38, 0.13, 0.14, 0.00, 0.00, 0.01, 0.52, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
63,  0,  4.798,  0.98,  1, 0.34, 0.00, 1.90, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.14, 0.39, 0.18, 0.06, 0.00, 0.00, 0.01, 0.27, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  4.824,  0.98,  1, 0.26, 0.03, 1.95, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.04, 0.37, 0.23, 0.03, 0.00, 0.03, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  4.909,  0.98,  1, 0.25, 0.03, 1.96, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.33, 0.29, 0.10, 0.00, 0.03, 0.08, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  4.959,  0.98,  1, 0.15, 0.03, 1.89, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.27, 0.43, 0.17, 0.00, 0.03, 0.15, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
67,  0,  4.995,  0.98,  1, 0.10, 0.00, 1.78, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.22, 0.53, 0.21, 0.00, 0.00, 0.19, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
68,  0,  5.020,  0.98,  1, 0.03, 0.00, 1.65, 0.00, 0.00, 0.00, 0.00, 0.19, 0.00, 0.00, 0.28, 0.54, 0.16, 0.00, 0.00, 0.27, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
69,  0,  5.108,  0.98,  1, 0.03, 0.00, 1.69, 0.00, 0.00, 0.00, 0.00, 0.16, 0.00, 0.00, 0.35, 0.48, 0.09, 0.01, 0.00, 0.35, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
70,  0,  5.147,  0.98,  1, 0.08, 0.00, 1.83, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.48, 0.57, 0.13, 0.01, 0.00, 0.36, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
71,  0,  5.205,  0.98,  1, 0.13, 0.01, 1.97, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.49, 0.68, 0.19, 0.01, 0.00, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
